,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
295,2017-06-16,Mobile Decisioning,0,Grant,Spring Accelerator,Kenya,Kenya,"FinTech, Information Services, Information Technology, Telecommunications",Financial Services
296,2017-06-16,Cherehani Africa,200000,Grant,"United States African Development Foundation, Spring Accelerator, Levi Strauss & Co., Citi Foundation",Kenya,Kenya,"FinTech, Productivity Tools",Financial Services
297,2017-06-17,Pawame,0,Seed,Goldfish Fund,Kenya,Kenya,"Environmental Engineering, Renewable Energy",Energy & Environment Resources
298,2017-06-17,Imaginators,3000,Grant,Orange,Egypt,Egypt,"Presentation Software, Presentations, Productivity Tools, Social Media, Software",Media & Entertainment
299,2017-06-19,SWVL,500000,Seed,Careem,Egypt,Egypt,"Internet, Mobile Apps, Transportation, Travel, Ride hailing",Transport & Logistics
300,2017-06-21,Xineoh,2000000,Seed,King and Bay West,South Africa,South Africa,"Information Technology, Software",Emerging Technologies
301,2017-06-23,WhereIsMyTransport,1520000,Seed,"Goodwell Investments, Bombardier",South Africa,South Africa,"Public Transport Data, Professional Services",Transport & Logistics
302,2017-06-27,Polysmart,600000,Seed,CDC Gestion,Tunisia,Tunisia,"Video Games, Graphic Designs",Media & Entertainment
303,2017-06-28,OMG Digital,1100000,Seed,"Will Sternlicht, Soma Capital, Social Capital, M & Y Growth Partners, Kima Ventures, Josh Buckley, Frances Xavier Helgesen, Comcast Ventures",Ghana,Ghana,"Digital Marketing, Marketing, Social Media Management",Media & Entertainment
304,2017-07-01,Taskty,200000,Seed,500 Startups,Egypt,Egypt,"Services, Gigs",E-Commerce & Retail
305,2017-07-10,Kudi,0,Seed,Eric Nadalin,Nigeria,Nigeria,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech",Financial Services
306,2017-07-17,Bosta,0,Seed,Cairo Angels,Egypt,Egypt,"Technology, Logistics, Courier, and Transportation",Transport & Logistics
307,2017-07-25,hearX Group,2200000,Seed,Undisclosed,South Africa,South Africa,"Health Care, Software, Audiology, audiometry, mHealth, eHealth",Healthcare & Pharma
308,2017-07-25,hearX Group,500000,Grant,Undisclosed,South Africa,South Africa,"Health Care, Software, Audiology, audiometry, mHealth, eHealth",Healthcare & Pharma
309,2017-07-30,Twiga Foods,2000000,Grant,U.S. Agency for International Development (USAID),Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
310,2017-07-31,Twiga Foods,10300000,Series A,"Omidyar Network,  1776 Ventures, Wamda Capital, DOB Equity,  Blue Haven Initiative",Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
311,2017-07-31,Chalkboard Education,227000,Seed,Jacobs Foundation,Ghana,Ghana,"E-Learning, Education, Mobile, Higher Education",Education
312,2017-07-31,Sky.Garden,150000,Pre-Seed,Katapult Accelerator,Kenya,Kenya,"Internet, Marketplace, Mobile Payments, Trading Platform",E-Commerce & Retail
313,2017-08-01,Flutterwave,10000000,Series A,"Y Combinator, Plug and Play, Greycroft, Glynn Capital Management, Green Visor Capital",United States,United States,"Payments, Fintech, Financial Technology",Financial Services
314,2017-08-01,Mumm,200000,Seed,500 Startups,Egypt,Egypt,"E-Commerce, Food and Beverage, Food Delivery, Marketplace",E-Commerce & Retail
315,2017-08-01,Farmcrowdy,100000,Pre-Seed,Right Side Capital Management,Nigeria,Nigeria,"Farming, Agriculture, Digital Farming, Technology Farming, Agtech",Financial Services
316,2017-08-03,Aerobotics,600000,Seed,"4Di Capital, Savannah Fund",South Africa,South Africa,"Data Analytics, Aerial Engineering Design and Manufacture, Machine Learning, and Image Processing, Agtech, Drones, Farming, Software",Emerging Technologies
317,2017-08-04,Chalkboard Education,237000,Seed,Jacobs Foundation,Ghana,Ghana,"E-Learning, Education, Mobile, Higher Education",Education
318,2017-08-04,Sky.Garden,100000,Pre-Seed,Katapult Accelerator,Kenya,Kenya,"Internet, Marketplace, Mobile Payments, Trading Platform",E-Commerce & Retail
319,2017-08-07,Releaf,120000,Seed,Y Combinator ,Nigeria,Nigeria,"B2B, E-Commerce, Marketplace",E-Commerce & Retail
320,2017-08-08,Payment24,150000,Seed,500 Startups,South Africa,South Africa,"FinTech, E-Payments",Financial Services
321,2017-08-08,MOBIcure,17000,Seed,Startupbootcamp Afritech,Nigeria,Nigeria,HealthTech,Healthcare & Pharma
323,2017-08-14,getWorth,1380000,Venture Round,Undisclosed,South Africa,South Africa,"Information Services, Sales, Social Media Marketing",E-Commerce & Retail
324,2017-08-14,Yumamia,200000,Seed,"Publicis Groupe, Faden Media",Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
325,2017-08-15,PayGo Energy,0,Grant,U.S. Agency for International Development (USAID),Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
326,2017-08-15,SnapnSave,1000000,Venture Round,"Kalon Venture Partners, Smollan",South Africa,South Africa,"Apps, Marketing, Shopping",E-Commerce & Retail
327,2017-08-30,Eversend,64200,Grant,Bpifrance,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
328,2017-08-31,BitPesa,6700000,Series A,Greycroft partners & Plug and play,Kenya,Kenya,"Blockchain, Cryptocurrencies, Exchange, Fintech",Financial Services
329,2017-08-31,RxAll,60000,Grant,"Yale University, Merck and Equilateral Ventures",United States of America,United States of America,"Artificial Intelligence, Blockchain, Database, Hardware, Software",Emerging Technologies
330,2017-09-01,Pineapple,400000,Seed,Lireas Holdings,South Africa,South Africa,"Insurance, InsurTech, Peer to Peer",Financial Services
332,2017-09-14,Vapulus,250000,Seed,Arabian Venture Capital,Egypt,Egypt,"Banking, Financial Services, Internet, Mobile Payments",Financial Services
333,2017-09-19,Shortlist,1000000,Seed,"University Ventures, Zephyr Acorn, Spike Ventures, Bodley Group",Kenya,Kenya,"Recruiting, Talent, Hiring, Human Resources, Applicant Screening",Recruitment
334,2017-09-26,Watu Credit,1500000,Debt Financing,Shinnecok Partners LP,Kenya,Kenya,"Finance, Financial Services, Sustainability",Financial Services
335,2017-10-01,AfricaSokoni,300000,Seed,Undisclosed,Kenya,Kenya,"Consumer, E-Commerce, Internet, Retail, Marketplace",E-Commerce & Retail
337,2017-10-04,Cloud9Xp,73000,Seed,Darshan Chandaria,Kenya,Kenya,"Internet, Local, Online Portals, Travel",Travel & Leisure
338,2017-10-06,Zumi,250000,Seed,"Chandaria Capital, Majlis Investment Management",Kenya,Kenya,"Digital Marketing, Media and Entertainment, Social Media",Media & Entertainment
339,2017-10-09,Oolu,3200000,Series A,"Y Combinator, Persistent Energy Capital",Senegal,Senegal,"Environmental Consulting, Financial Services, Renewable Energy, Solar",Energy & Environment Resources
340,2017-10-10,Sokowatch,0,Corporate Venture,Chandaria Industries,Kenya,Kenya,"Distribution, Data, Emerging Markets, Logistics, and E-Commerce",Transport & Logistics
341,2017-10-10,M-KOPA,80000000,Debt Financing,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
342,2017-10-11,Lori Systems,25000,Grant,TechCrunch Startup Battlefield,Kenya,Kenya,"Logistics, Railroad, Transportation",Transport & Logistics
343,2017-10-14,Azuri Technologies,131500,Crowdfunding,Undisclosed,United Kingdom,United Kingdom,"Energy, Renewable Energy, Solar",Energy & Environment Resources
344,2017-10-16,MOBIcure,100000,Grant,Expo 2020 Dubai,Nigeria,Nigeria,HealthTech,Healthcare & Pharma
345,2017-10-19,Aella Credit,0,Seed,"Y Combinator, 500 Startups, Zeno Ventures, Vy Capital, Unis Venture Fund",Nigeria,Nigeria,"Blockchain, Micro-Loans",Financial Services
346,2017-10-19,The Sun Exchange ,1600000,Seed,"Kalon Venture Partners, BoostVC, Techstars, PowerHouse",South Africa,South Africa,"Solar Energy Project Financing, Solar Power, Blockchain, Internet of Things, Ethereum Smart Contracts, Bitcoin",Financial Services
347,2017-10-23,SolarNow,6000000,Debt Financing,"responsAbility, SunFunder",Uganda,Uganda,"Solar PV (Solar Home Systems), Rural Off-grid markets in Africa, Financing, and Distribution",Energy & Environment Resources
348,2017-10-24,UAV Industries,499000,Seed,Glenheim Venture Capital Company,South Africa,South Africa,"Education, Legal, Training, Drones, Edtech",Education
349,2017-10-26,CanGo,0,Seed,SOSV,Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
350,2017-10-26,Buseet,17000,Seed,Startupbootcamp,Egypt,Egypt,"Mobile Apps, Software, Transportation",Transport & Logistics
351,2017-10-27,PEG Africa,13500000,Series B,"EAV, Investisseurs & Partenaires (I&P), ENGIE Rassembleurs d’Energies, Acumen, PCG Investments",Ghana,Ghana,"Asset Financing, Pay As You Go Solar, and Solar Energy",Energy & Environment Resources
352,2017-10-30,Naked Insurance,1400000,Corporate Round,"Yellowwood Partners, Hollard",South Africa,South Africa,"Financial Services, Information Technology, Insurance",Financial Services
353,2017-11-01,Asaak,1500000,Seed,"Resolute Ventures, Social Capital, Locke Mountain Ventures, HOF Capital, Catalyst Fund, 500 Startups",Uganda,Uganda,"Big Data, Finance, Financial Services, Micro-Loans, Lending",Financial Services
354,2017-11-01,JobJack,8000,Seed,Undisclosed,South Africa,South Africa,Marketplace,Recruitment
355,2017-11-02,OffGridBox,100000,Grant,MassChallenge,Rwanda,Rwanda,Renewables & Environment,Energy & Environment Resources
357,2017-11-07,Jumo,24000000,Debt Financing,Finnfund (Finnish Fund for Industrial Cooperation Ltd.),South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
358,2017-11-10,Andela,40000000,Series C,"CRE Venture Capital, TLcom Capital Partners, Salesforce Ventures, Golden Palm Investments, GV, DBL Partners, Chan Zuckerberg Initiative, Aera VC, Amplo",United States,United States,"Edtech, BPO, Recruitment, Software, Training",Commercial & Professional Services
359,2017-11-11,Instabug,0,Venture Round,Trend Forward Capital,Egypt,Egypt,"iOS, Mobile, Software",Software
360,2017-11-11,Jumo,150000,Grant,The MasterCard Foundation,South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
361,2017-11-15,Asoko Insight,3000000,Seed,Singularity Investments,Nigeria,Nigeria,"Company Information, Data Analysis, Business Development, Investment Research, Company Profiling, News & Analysis, Due Diligence, Africa, Market Research, private equity, and African Data",Media & Entertainment
362,2017-11-16,Eventtus,2000000,Series A,"500 Startups, Vodafone Ventures, Algebra Ventures",Egypt,Egypt,"Event Management, Event Apps, Conferences",Commercial & Professional Services
363,2017-11-17,Sendy,2000000,Series A,DOB Equity,Kenya,Kenya,"Logistics, Deliveries, Courier, Packages, Food Delivery, E-Commerce, Mobile Apps, and On demand courier solutions",Transport & Logistics
364,2017-11-17,Ozow,710000,Seed,Kalon Venture Partners,South Africa,South Africa,Instant EFT Payments,Financial Services
365,2017-11-29,Aerobotics,50000,Grant,Google Launchpad Accelerator,South Africa,South Africa,"Data Analytics, Aerial Engineering Design and Manufacture, Machine Learning, and Image Processing, Agtech, Drones, Farming, Software",Emerging Technologies
366,2017-11-29,OneFi,50000,Grant,Google Launchpad Accelerator,Nigeria,Nigeria,"Consumer Lending, FinTech",Financial Services
367,2017-11-30,Spicyauto,5000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Automotive, E-Commerce, Information Technology, Marketplace, Retail Technology",E-Commerce & Retail
368,2017-12-01,Daystar Power Africa,0,Seed,KFW DEG,Mauritius,Mauritius,"Electronics, Solar",Renewables & Environment
369,2017-12-01,Guanxi Invest,0,Seed,Undisclosed,Cameroon,Cameroon,"Crowdfunding, FinTech",Financial Services
370,2017-12-01,Bosta,300000,Seed,Undisclosed,Egypt,Egypt,"Technology, Logistics, Courier, and Transportation",Transport & Logistics
371,2017-12-01,LegitCar,15700,Grant,Tony Elumelu Foundation,Nigeria,Nigeria,"Automotive, Security, Software",Information Technology
372,2017-12-05,Enko Education,1100000,Debt Financing,OikiCredit,South Africa,South Africa,0,Education
373,2017-12-05,Imaginators,1200,Grant,VC4A,Egypt,Egypt,"Presentation Software, Presentations, Productivity Tools, Social Media, Software",Media & Entertainment
374,2017-12-07,Trukto Technologies,400000,Seed,Undisclosed,Egypt,Egypt,"Information Technology, Shipping",Transport & Logistics
375,2017-12-08,Elves,2000000,Seed,"Emaar, Kauffman Fellows, Dubai Angel Investors",Egypt,Egypt,"Artificial Intelligence, Machine Learning, Messaging, Mobile, Travel, Virtual Assistant",E-Commerce & Retail
376,2017-12-10,Eversend,33800,Debt Financing,Wilco,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
377,2017-12-10,Eversend,25000,Pre-Seed,Techstars,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
378,2017-12-11,Sxuirrel,167800,Seed,Undisclosed,South Africa,South Africa,"Communities, Consumer, Marketplace, Mobile Apps, Parking, Peer to Peer, Self-Storage",Real estate
380,2017-12-12,Sxuirrel,176000,Seed,Undisclosed,South Africa,South Africa,"Communities, Consumer, Marketplace, Mobile Apps, Parking, Peer to Peer, Self-Storage",Real estate
382,2017-12-18,Farmcrowdy,1000000,Seed,"Tyler Scriven,Techstars Atlanta in partnership with Cox Enterprises,Techstars,Social Capital, Michael Cohn, Josephine Group, Hallett Capital, FC Agro Allied SPV, Cox Enterprises, Christof Walter",Nigeria,Nigeria,"Farming, Agriculture, Digital Farming, Technology Farming, Agtech",Financial Services
384,2017-12-20,Rology,0,Seed,HIMangel,Egypt,Egypt,Health Diagnostics,Healthcare & Pharma
385,2017-12-20,Nozol,0,Seed,HIMangel,Egypt,Egypt,"CRM, Real Estate",Real Estate
386,2017-12-20,iono.fm,279600,Seed,Clifftop Colony Capital Partners,South Africa,South Africa,"Podcasts, Audio, Transcoding, Live-streaming",Media & Entertainment
387,2017-12-20,WideBot,50000,Seed,Undisclosed,Egypt,Egypt,"Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing",Information Technology
388,2017-12-20,ElMawkaa,9000,Grant,Undisclosed,Egypt,Egypt,"Apps, Construction, IT Management, Mobile Apps",E-Commerce & Retail
389,2017-12-23,mPharma,6600000,Series A,"4DX Ventures, Breyer Capital, Social Capital, Golden Palm Investments Holding Co., Shravin Bharti Mittal, ",Ghana,Ghana,"Health Care, Information Technology, Management Information Systems, Digital Healthcare",Healthcare & Pharma
390,2017-12-28,Halan,525000,Seed,Battery Road Digital Holdings,Egypt,Egypt,"Logistics, Ride Sharing, Sharing Economy, Transportation",Transport & Logistics
391,2017-12-30,Lynk,1300000,Seed,"Novastar Ventures, Steel Africa, Safaricom, Mercy Corps",Kenya,Kenya,"Professional Services, Labour",Commercial & Professional Services
392,2018-01-01,Jobartis,0,Seed,TheVentureCity,Angola,Angola,"Human Resources, Internet, Recruiting",Commercial & Professional Services
393,2018-01-01,Accept,0,Seed,A15,Egypt,Egypt,"Payments, Online Payments, Mobile Wallets, Ecommerce, Credit Card Payments, and Cash on Delivery",Financial Services
394,2018-01-01,Scale,300000,Seed,Undisclosed,Morocco,Morocco,"Consulting, Digital Media, Information Technology",Information Technology
395,2018-01-01,Elk,250000,Seed,"Endure Capital, 500 Startups, Flat5Labs, Khaled Alashmouny, Karim Hussein, Con O'Donnell",Egypt,Egypt,"Blockchain, Hardware, Internet of Things, Software",Emerging Technologies
396,2018-01-01,MyFoodness,75000,Seed,Undisclosed,Botswana,Botswana,Food & Beverages,E-Commerce & Retail
397,2018-01-01,"You, Baby and I",70000,Seed,IDF Capital SA,South Africa,South Africa,"e-commerce, Product and Service Advice for Moms, Events and Competitions for families, Data/Analytic Reports, retail, Product Testing, and Product Trials",E-Commerce & Retail
398,2018-01-01,Xpay,35000,Seed,EFG-EG,Egypt,Egypt,FinTech,Financial Services
399,2018-01-01,Teradix,30000,Seed,Undisclosed,Egypt,Egypt,"B2B, Information Services, Information Technology, Internet, Marketplace",Information Technology
400,2018-01-01,Zaagel Xpress,18000,Seed,Undisclosed,Egypt,Egypt,"Delivery, E-Commerce, Internet, Logistics",Transport & Logistics
402,2018-01-01,SafeBoda,1100000,Series A,Undisclosed,Uganda,Uganda,"Apps, Consumer, Transportation",Transport & Logistics
403,2018-01-02,Buzzkito,1700000,Series A,AfricInvest,Morocco,Morocco,"Advertising Platforms, Media and Entertainment, News, Psychology",Media & Entertainment
404,2018-01-02,Rensource,1000000,Seed,Undisclosed,Nigeria,Nigeria,"Energy, PaaS, Renewable Energy",Energy & Environment Resources
405,2018-01-04,Passerine Aircraft Corporation,120000,Seed,Y Combinator,South Africa,South Africa,"Aerospace, Fleet Management, Manufacturing",Transport & Logistics
406,2018-01-04,Lori Systems,6170000,Seed,FJ Labs,Kenya,Kenya,"Logistics, Railroad, Transportation",Transport & Logistics
407,2018-01-04,Student Accommod8,1300000,Series A,Consonance Investment Managers ,Nigeria,Nigeria,Education,Education
408,2018-01-08,Findworka,0,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Outsourcing, Software",Commercial & Professional Services
409,2018-01-08,Tapsnapp,35000,Angel,Undisclosed,South Africa,South Africa,Photography,Commercial & Professional Services
410,2018-01-09,MoneyFellows,600000,Seed,"500 Startups, Dubai Angel Investors",Egypt,Egypt,"Credit, Financial Services, Software",Financial Services
411,2018-01-10,Nawah Scientific,650000,Seed,"500 Startups, Endure Capital, Averroes Ventures, Egypt Ventures, Ahmed Abdelhamid",Egypt,Egypt,"Biopharma, Biotechnology, Life Science",Healthcare & Pharma
412,2018-01-10,Kamtar ,227000,Pre-Seed,Saviu Ventures,Ivory Coast,Ivory Coast,"E-Commerce, Internet, Transportation",Transport & Logistics
413,2018-01-15,Wutiko,50000,Grant,U.S. African Development Foundation (USADF),Senegal,Senegal,"Job board, Business Directory, Recrutement, Professional Network, and Funding",Recruitment & Human Resource
414,2018-01-16,SureRemit,7000000,ICO,-,Nigeria,Nigeria,"Blockchain, Cryptocurrency, Financial Services",Financial Services
415,2018-01-18,Zola Electric ,55000000,Series D,"Helios Investment Partners, GE Ventures, Total Energy Ventures, Tesla, EDF, DBL Partners",Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
416,2018-01-19,Abalobi,100000,Grant,Quona Capital,South Africa,South Africa,"Fishing, Mobile Applications",Agriculture
417,2018-01-20,Awfar,0,Seed,HIMAngel,Egypt,Egypt,"Delivery, E-Commerce, Internet, Mobile",E-Commerce & Retail
418,2018-01-22,Azuri Technologies,20000000,Debt Financing,"TRINE, Electrification Financing Initiative",United Kingdom,United Kingdom,"Energy, Renewable Energy, Solar",Energy & Environment Resources
419,2018-01-24,TabAds,0,Seed,Foresight Ventures Kenya,Kenya,Kenya,"Media and Entertainment, News",Media & Entertainment
420,2018-01-25,IAME,70000,Seed,Ka'resh Eswar,Mauritius,Mauritius,"Blockchain, Compliance, Identity Management, Information Technology",Emerging Technologies
421,2018-01-26,ZAR X,0,Seed,Public Investment Corporation,South Africa,South Africa,Stock Exchanges,Financial Services
422,2018-01-29,Centbee,0,Seed,nChain,South Africa,South Africa,"Bitcoin, Cryptocurrency, Payments",Financial Services
423,2018-01-30,wiGroup,0,Series A,"Virgin Group, Smollan",South Africa,South Africa,"Business Information Systems, Information Technology, Loyalty Programs, Mobile, Mobile Apps, Software",Information Technology
424,2018-01-31,Mondo Ride,2000000,Series A,Undisclosed,Kenya,Kenya,"Apps, Information Technology, Internet, Transportation, Ride Hailing",Transport & Logistics
425,2018-02-01,Jibu,7000000,Series B,"Asia Africa Investment & Consulting, The Danone Communities Mutual Fund, Stone Family Foundation, Segal Family Foundation, NRD Capital Management, Maclellan Foundation, Conrad N. Hilton Foundation",Rwanda,Rwanda,"Health Care, Social Entrepreneurship, Water",Utilities and Telecommunication Services
426,2018-02-01,Sky.Garden,0,Seed,Futuristic.vc,Kenya,Kenya,"Internet, Marketplace, Mobile Payments, Trading Platform",E-Commerce & Retail
427,2018-02-01,Pura Soda,0,Series A,Knife Capital,South Africa,South Africa,Food & Beverages,E-Commerce & Retail
428,2018-02-01,HUB2.io,284000,Seed,Compass Venture Capital,Mauritius,Mauritius,Financial Services,Financial Services
429,2018-02-01,Fastvan,150000,Seed,Undisclosed,South Africa,South Africa,"Collaborative Consumption, Logistics, Shipping",Transport & Logistics
430,2018-02-01,Werpx,30000,Angel,Ahmed Habib,Egypt,Egypt,"Artificial Intelligence, Big Data, Consumer, Delivery, Grocery, Predictive Analytics, Retail, Software, Supply Chain Management",E-Commerce & Retail
431,2018-02-01,JobJack,30000,Seed,Undisclosed,South Africa,South Africa,Marketplace,Recruitment
433,2018-02-02,Predictive Insights,0,Seed,Alphawave group,South Africa,South Africa,"Artificial Intelligence, Big Data",Information Technology
434,2018-02-02,iCog Labs,100000,Grant,U.S. Embassy Ethiopia,Ethiopia,Ethiopia,Computer Software,Emerging Technologies
435,2018-02-05,Sendy,7000000,Series A II,"DOB Equity, CFAO GROUP",Kenya,Kenya,"Logistics, Deliveries, Courier, Packages, Food Delivery, E-Commerce, Mobile Apps, and On demand courier solutions",Transport & Logistics
436,2018-02-06,Sky.Garden,1200000,Series A,"Katapult Accelerator, TRK Group, Danish Business Angels, Jesper Drescher",Kenya,Kenya,"Internet, Marketplace, Mobile Payments, Trading Platform",E-Commerce & Retail
437,2018-02-07,LifeBank ,200000,Seed,"EchoVC Partners, Co-Creation Hub Nigeria, Fola Laoye",Nigeria,Nigeria,"Health Care, Hospital",Healthcare & Pharma
438,2018-02-16,IAME,100000,Seed,Jonathan Evrard,Mauritius,Mauritius,"Blockchain, Compliance, Identity Management, Information Technology",Emerging Technologies
439,2018-02-26,Lynk,0,Grant,GSMA Ecosystem Accelerator,Kenya,Kenya,"Professional Services, Labour",Commercial & Professional Services
440,2018-02-26,Ensibuuko,350000,Grant,GSMA Ecosystem Accelerator,Uganda,Uganda,"Micro-finance Software, SACCO Software, Credit Union Software, Mobile Banking",Financial Services
441,2018-02-26,Farmcrowdy,350000,Grant,GSMA Ecosystem Accelerator,Nigeria,Nigeria,"Farming, Agriculture, Digital Farming, Technology Farming, Agtech",Financial Services
442,2018-02-26,MaTontine,340000,Grant,GSMA Ecosystem Accelerator,Senegal,Senegal,"Financial Services, Internet",Financial Services
443,2018-02-26,Musanga,266000,Seed,GSMA Ecosystem Accelerator,Zambia,Zambia,"Delivery, Delivery Service, Logistics",Transport & Logistics
444,2018-02-26,Medico Plus,15000,Seed,Undisclosed,Kenya,Kenya,"Analytics, Consumer Software, Health Care, Home Health Care, Information Technology, Medical, Personal Health, SaaS",Healthcare & Pharma
445,2018-02-27,PrepClass,320000,Grant,GSMA Ecosystem Accelerator,Nigeria,Nigeria,"E-Learning, EdTech, Education",Education
446,2018-02-28,WiRE Microsystems,0,Seed,AUC Venture Lab,Egypt,Egypt,"Computer, Cyber Security, Information Technology, Operating Systems, Software",Information Technology
448,2018-03-06,HiCarByeCar,0,Seed,Undisclosed,South Africa,South Africa,Internet,E-Commerce & Retail
449,2018-03-12,Afrikrea,127000,Seed,Id4 ventures,Ivory Coast,Ivory Coast,"Art, E-Commerce, Fashion, Handmade",E-Commerce & Retail
450,2018-03-12,Pawame ,2000000,Seed,Undisclosed,Kenya,Kenya,"Energy, Environmental Engineering, Renewable Energy, Solar",Energy & Environment Resources
451,2018-03-13,Hi5,180000,Seed,Getihu,South Africa,South Africa,Human Resources,Information Technology
452,2018-03-13,Yumamia,100000,Seed,Manal Al Alem,Egypt,Egypt,"Catering, Delivery, Food and Beverage, Food Delivery, Marketplace, Subscription Service",E-Commerce & Retail
453,2018-03-13,WeFarm,5000000,Seed,"True Ventures, Norrsken Foundation, Niklas Zennström, Matt Mullenweg, LocalGlobe, Bryan Meehan, ADV",Kenya,Kenya,"Agriculture, AgTech, Crowdsourcing, Internet",Agriculture
454,2018-03-15,M-KOPA,10000000,Venture Round,"CDC Group, Generation Investment Management, LGT Venture Philanthropy",Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
455,2018-03-15,myPadi,0,Seed,EchoVC Partners,Nigeria,Nigeria,"Hostel Booking, Roommate Finder, Student Housing",Real estate
456,2018-03-15,LifeBank ,62033,Grant,Merck Accelerator ,Nigeria,Nigeria,"Health Care, Hospital",Healthcare & Pharma
457,2018-03-15,iFixng,50000,Seed,Yomi Martins ,Nigeria,Nigeria,"Construction, Professional Services, Recruiting","Recruitment, Human Resource"
458,2018-03-15,Clintonel Technologies,30000,Grant,Ford Foundation,Nigeria,Nigeria,"Printing, Manufacturing",Information Technology
459,2018-03-16,Ogwugo,20000,Grant,Ford Foundation,Nigeria,Nigeria,"Delivery Service, E-Commerce, Food Delivery, Procurement",E-Commerce & Retail
460,2018-03-20,M-Birr,9870000,Private Equity,"DEG - Deutsche Investitions- und Entwicklungsgesellschaft, European Investment Bank (EIB)",Ethiopia,Ethiopia,"Mobile Payments, Software",Mobile Payments
461,2018-03-21,DataProphet,0,Seed,Knife Capital,South Africa,South Africa,"Machine Learning, Data Science, Predictive Analytics, Artificial Intelligence",Information Technology
462,2018-03-23,GoDoChurch,300000,Series A,AngelHub Ventures,South Africa,South Africa,"Information Services, Information Technology, Software",Information Technology
463,2018-03-25,Halan,2000000,Seed,Undisclosed,Egypt,Egypt,"Logistics, Ride Sharing, Sharing Economy, Transportation",Transport & Logistics
464,2018-03-26,Optimalogistic,60000,Seed,Undisclosed,Tunisia,Tunisia,"Logistics, Transportation",Transport & Logistics
465,2018-03-28,Gokada,337300,Seed,Adventure Capital,Nigeria,Nigeria,"Private Transport, Logistics, Ride-Hailing, Transportation, Moto-Taxi, Okada, logistics",Transport & Logistics
467,2018-03-29,Terragon Group,5000000,Series A,TLcom Capital Partners ,Nigeria,Nigeria,"Billing, Content, CRM, Digital Media, Local, Mobile, Mobile Advertising, Music, Social Media, Social Media Marketing",Media & Entertainment
468,2018-03-29,GICMED,35000,Seed,Undisclosed,Cameroon,Cameroon,"Health Care, Health Diagnostics, Medical Device, Telecommunications",Healthcare & Pharma
469,2018-04-01,ConnectMed,10000,Grant,Villgro Kenya,Kenya,Kenya,"Health Care, Internet, mHealth",Healthcare & Pharma
470,2018-04-04,Azuri Technologies,2380000,Crowdfunding,Undisclosed,United Kingdom,United Kingdom,"Energy, Renewable Energy, Solar",Energy & Environment Resources
471,2018-04-05,Jumo,3000000,Series A,"Proparco, The MasterCard Foundation, FinnFund",South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
472,2018-04-06,Asoko Insight,3600000,Series A,"North Base Media, LC Partners, Spice Fund, Zephyr Acorn, CRE Ventures, Singularity Investments, Spice Capital / OTEO Investment, Outlierz Ventures",Nigeria,Nigeria,"Company Information, Data Analysis, Business Development, Investment Research, Company Profiling, News & Analysis, Due Diligence, Africa, Market Research, private equity, and African Data",Media & Entertainment
473,2018-04-09,AppZone,0,Seed,Lateral Capital,Nigeria,Nigeria,"Apps, Banking, FinTech",Financial Services
475,2018-04-10,Vula Mobile,70000,Seed,HAVAIC,South Africa,South Africa,"Apps, Medical, Software",Healthcare & Pharma
477,2018-04-12,AgroCenta,500000,Seed,Seedstars,Ghana,Ghana,"Farmers Market, Logistics, Software",Agriculture
478,2018-04-12,EnerGrow,10000,Grant,Ministry of ICT & National Guidance (Uganda),Uganda,Uganda,"Lending, Credit Scoring, Asset Financing",Energy & Environment Resources
479,2018-04-14,d.light,50000000,Debt Financing,"European Investment Bank (EIB), responsAbility, SunFunder, SIMA Funds",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
